invoice_id,po_number,customer_name,customer_email,amount,tax_amount,total_amount,currency,invoice_date
INV-2025688815,PO-4703,Riya Singh,riyasingh@sample.net,165165.56,8258.28,173423.84,INR,2025-06-07
INV-2025639985,,Vihaan Rao,vihaanrao@demo.co,23824.9,1191.25,25016.15,INR,2025-08-05
INV-2025297638,PO-4343,Riya Nair,riyanair@example.com,162297.1,19475.65,181772.75,INR,2025-08-05
INV-2025676269,PO-1015,Pari Reddy,parireddy@mailinator.com,83009.51,4150.48,87159.99,INR,2025-05-18
INV-2025981242,PO-3496,Arjun Khan,arjunkhan@test.org,39898.99,4787.88,44686.87,INR,2025-03-20
INV-2025236569,PO-8759,Aarav Chopra,aaravchopr@sample.net,58226.16,6987.14,65213.3,INR,2025-04-25
INV-2025830593,PO-9374,Navya Sharma,navyasharm@demo.co,5034.86,251.74,5286.6,INR,2025-07-20
INV-2025367196,,Kiara Reddy,kiarareddy@example.com,179380.77,32288.54,211669.31,INR,2025-04-03
INV-2025240104,PO-9765,Kiara Kulkarni,kiarakulka@demo.co,52451.1,9441.2,61892.3,INR,2025-04-03
INV-2025713861,PO-9036,Aisha Mehta,aishamehta@mailinator.com,155928.76,18711.45,174640.21,INR,2025-08-09
INV-2025726403,,Riya Khan,riyakhan@mailinator.com,173842.49,20861.1,194703.59,INR,2025-06-22
INV-2025156396,,Kiara Kulkarni,kiarakulka@demo.co,123913.73,14869.65,138783.38,INR,2025-05-14
INV-2025991769,PO-2519,Pari Verma,pariverma@sample.net,86332.54,15539.86,101872.4,INR,2025-03-16
INV-2025348034,PO-5687,Riya Khan,riyakhan@mailinator.com,77356.34,3867.82,81224.16,INR,2025-07-13
INV-2025105652,,Aisha Bansal,aishabansa@sample.net,121104.33,21798.78,142903.11,INR,2025-07-19
INV-2025127486,PO-3565,Pari Singh,parisingh@example.com,70146.79,3507.34,73654.13,INR,2025-08-08
INV-2025165902,PO-7977,Krishna Verma,krishnaver@test.org,56531.94,6783.83,63315.77,INR,2025-04-20
INV-2025407101,PO-3180,Aisha Mehta,aishamehta@mailinator.com,31297.65,1564.88,32862.53,INR,2025-06-16
INV-2025570229,PO-6034,Arjun Khan,arjunkhan@test.org,96559.98,11587.2,108147.18,INR,2025-01-08
INV-2025929147,PO-7368,Anaya Iyer,anayaiyer@sample.net,136000.89,16320.11,152321.0,INR,2025-06-03
INV-2025609140,PO-8655,Arjun Bansal,arjunbansa@example.com,42492.7,2124.63,44617.33,INR,2025-06-13
INV-2025240863,,Riya Gupta,riyagupta@example.com,50695.65,9125.22,59820.87,INR,2025-03-31
INV-2025167738,,Diya Chopra,diyachopra@test.org,63334.94,3166.75,66501.69,INR,2025-02-17
INV-2025455875,,Mira Rao,mirarao@sample.net,117214.65,5860.73,123075.38,INR,2025-05-15
INV-2025301910,,Sai Nair,sainair@test.org,76174.63,9140.96,85315.59,INR,2025-01-21
INV-2025542069,PO-6806,Ira Mehta,iramehta@sample.net,104041.74,18727.51,122769.25,INR,2025-07-15
INV-2025175191,PO-7578,Ishaan Singh,ishaansing@test.org,101361.27,18245.03,119606.3,INR,2025-01-01
INV-2025356711,PO-7954,Pari Ghosh,parighosh@demo.co,134202.29,6710.11,140912.4,INR,2025-03-11
INV-2025989150,PO-8468,Riya Singh,riyasingh@sample.net,117894.75,5894.74,123789.49,INR,2025-03-18
INV-2025258348,,Vivaan Bansal,vivaanbans@test.org,84424.6,15196.43,99621.03,INR,2025-05-28
INV-2025469725,,Kiara Reddy,kiarareddy@test.org,13226.12,2380.7,15606.82,INR,2025-07-17
INV-2025450953,PO-9734,Rohan Nair,rohannair@test.org,124378.98,6218.95,130597.93,INR,2025-05-31
INV-2025939903,,Arjun Nair,arjunnair@test.org,156528.66,28175.16,184703.82,INR,2025-04-21
INV-2025204586,PO-3547,Rohan Rao,rohanrao@mailinator.com,199223.74,35860.27,235084.01,INR,2025-05-05
INV-2025788758,,Krishna Kulkarni,krishnakul@sample.net,42935.95,2146.8,45082.75,INR,2025-02-17
INV-2025702654,,Diya Mukherjee,diyamukher@sample.net,94860.15,17074.83,111934.98,INR,2025-07-05
INV-2025720654,PO-6147,Ishaan Reddy,ishaanredd@demo.co,189161.73,9458.09,198619.82,INR,2025-06-18
INV-2025871427,PO-4622,Aisha Das,aishadas@test.org,17427.44,3136.94,20564.38,INR,2025-06-10
INV-2025111807,PO-5213,Riya Reddy,riyareddy@test.org,38187.41,1909.37,40096.78,INR,2025-05-03
INV-2025451486,PO-9391,Rohan Bansal,rohanbansa@example.com,39085.69,4690.28,43775.97,INR,2025-06-04
INV-2025943369,,Sai Verma,saiverma@sample.net,20266.69,1013.33,21280.02,INR,2025-07-14
INV-2025642562,PO-7690,Aisha Kulkarni,aishakulka@test.org,152052.36,18246.28,170298.64,INR,2025-02-04
INV-2025860991,PO-6015,Ishaan Nair,ishaannair@mailinator.com,24109.84,4339.77,28449.61,INR,2025-05-07
INV-2025604761,PO-1341,Arjun Khan,arjunkhan@test.org,112471.38,5623.57,118094.95,INR,2025-06-06
INV-2025321333,PO-8682,Aarav Kulkarni,aaravkulka@sample.net,8133.92,976.07,9109.99,INR,2025-02-03
INV-2025361416,PO-3029,Rohan Iyer,rohaniyer@example.com,66500.93,7980.11,74481.04,INR,2025-02-20
INV-2025480500,PO-1441,Sara Rao,sararao@example.com,50154.87,2507.74,52662.61,INR,2025-07-15
INV-2025697169,PO-3692,Vivaan Bansal,vivaanbans@test.org,131527.96,23675.03,155202.99,INR,2025-07-13
INV-2025433985,,Arjun Nair,arjunnair@test.org,106396.57,19151.38,125547.95,INR,2025-04-26
INV-2025854026,PO-7549,Pari Patel,paripatel@sample.net,88169.25,4408.46,92577.71,INR,2025-04-12
INV-2025408922,,Aarav Sharma,aaravsharm@example.com,128232.85,15387.94,143620.79,INR,2025-07-04
INV-2025724442,PO-5892,Sai Kapoor,saikapoor@test.org,146427.7,17571.32,163999.02,INR,2025-06-17
INV-2025918096,,Aarav Kulkarni,aaravkulka@example.com,94915.9,4745.8,99661.7,INR,2025-04-08
INV-2025351120,,Aarav Kulkarni,aaravkulka@example.com,81794.12,4089.71,85883.83,INR,2025-05-12
INV-2025241210,PO-6483,Pari Chopra,parichopra@example.com,85297.78,15353.6,100651.38,INR,2025-07-22
INV-2025349516,,Diya Mukherjee,diyamukher@sample.net,172480.99,20697.72,193178.71,INR,2025-03-08
