ref_code,purchase_order,client,email,net,tax,grand_total,ccy,doc_date
INV-2025688815,PO-4703,Riya Singh,riyasingh@sample.net,165165.56,8258.28,173423.84,INR,2025-06-06
REF-985-189,,Vihaan Rao,vihaanrao@demo.co,23822.9,1191.25,25014.15,INR,2025-08-05
REF-638-401,PO-4343,Riya Nair,riyanair@example.com,162295.1,19477.65,181772.75,INR,2025-08-05
REF-269-303,PO-1015,Pari Reddy,parireddy@mailinator.com,83010.51,4150.48,87160.99,INR,2025-05-19
2025981242,PO-3496,Arjun Khan,arjunkhan@test.org,39896.99,4788.38,44685.37,INR,2025-03-20
INV-2025236569,PO-8759,Aarav Chopra,aaravchopr@sample.net,58226.16,6986.64,65212.8,INR,2025-04-26
2025830593,PO-9374,Navya Sharma,navyasharm@demo.co,5036.86,249.74,5286.6,INR,2025-07-20
REF-196-473,,Kiara Reddy,kiarareddy@example.com,179380.77,32288.54,211669.31,INR,2025-04-02
2025240104,PO-9765,Kiara Kulkarni,kiarakulka@demo.co,52449.1,9440.7,61889.8,INR,2025-04-03
2025-713861,,Aisha Mehta,aishamehta@mailinator.com,155929.76,18711.45,174641.21,INR,2025-08-09
2025-726403,,Riya Khan,riyakhan@mailinator.com,173843.49,20860.6,194704.09,INR,2025-06-22
2025-156396,,Kiara Kulkarni,kiarakulka@demo.co,123913.73,14869.65,138783.38,INR,2025-05-14
2025/991769,PO-2519,Pari Verma,pariverma @ sample.net,86333.54,15538.86,101872.4,INR,2025-03-16
#2025::034,,Riya Khan,riyakhan @ mailinator.com,77357.34,3866.82,81224.16,INR,2025-07-13
#2025::652,,Aisha Bansal,aishabansa@sample.net,121104.33,21798.78,142903.11,INR,2025-07-20
2025/127486,PO-3565,Pari,parisingh@example.com,70144.79,3507.34,73652.13,INR,2025-08-08
2025-165902,PO-7977,Krishna Verma,krishnaver@test.org,56529.94,6783.83,63313.77,INR,2025-04-20
2025/407101,PO-3180,Aisha Mehta,aishamehta@mailinator.com,31296.65,1564.88,32861.53,INR,2025-06-16
INV-2025570229,,Arjun Khan,arjunkhan@test.org,96559.98,11587.2,108147.18,INR,2025-01-07
INV-2025929147,PO-7368,Anaya Iyer,anayaiyer@sample.net,136000.89,16320.11,152321.0,INR,2025-06-03
2025-609140,PO-8655,Arjun Bansal,arjunbansa@example.com,42493.7,2124.63,44618.33,INR,2025-06-13
#2025::863,,Riya Gupta,riyagupta@example.com,50693.65,9127.22,59820.87,INR,2025-04-01
